trial_id,scene_id,scene_seed,planner,trial_seed,failure_category,failure_category_cn,message,q_snapshot,ee_x,ee_y,ee_z,ee_error,min_obstacle_distance,min_ground_clearance
9,scene_03_narrow_passage,20260528,apf,33051,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
10,scene_03_narrow_passage,20260528,apf,33052,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
11,scene_03_narrow_passage,20260528,apf,33053,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
12,scene_03_narrow_passage,20260528,apf,33054,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
13,scene_03_narrow_passage,20260528,apf,33055,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
14,scene_03_narrow_passage,20260528,apf,33056,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
15,scene_03_narrow_passage,20260528,apf,33057,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
16,scene_03_narrow_passage,20260528,apf,33058,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
17,scene_03_narrow_passage,20260528,apf,33059,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
18,scene_03_narrow_passage,20260528,apf,33060,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
19,scene_03_narrow_passage,20260528,apf,33061,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
20,scene_03_narrow_passage,20260528,apf,33062,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
21,scene_03_narrow_passage,20260528,apf,33063,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
22,scene_03_narrow_passage,20260528,apf,33064,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
23,scene_03_narrow_passage,20260528,apf,33065,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
24,scene_03_narrow_passage,20260528,apf,33066,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
25,scene_03_narrow_passage,20260528,apf,33067,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
26,scene_03_narrow_passage,20260528,apf,33068,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
27,scene_03_narrow_passage,20260528,apf,33069,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
28,scene_03_narrow_passage,20260528,apf,33070,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
29,scene_03_narrow_passage,20260528,apf,33071,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
30,scene_03_narrow_passage,20260528,apf,33072,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
31,scene_03_narrow_passage,20260528,apf,33073,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
32,scene_03_narrow_passage,20260528,apf,33074,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
33,scene_03_narrow_passage,20260528,apf,33075,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
34,scene_03_narrow_passage,20260528,apf,33076,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
35,scene_03_narrow_passage,20260528,apf,33077,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
36,scene_03_narrow_passage,20260528,apf,33078,iteration_limit,迭代上限,max iterations reached,"[-2.5336869,-1.5661599,1.5086051,-1.3129422,1.1562085,0.059607844]",0.318707237118018,0.43407758350928893,0.6803465248284754,0.5700096109923453,0.1502034450155195,0.0030000000000000027
