trial_id,global_seed,scene_id,scene_seed,planner,trial_seed,success,planning_time,path_length_joint,path_length_task,smoothness,min_obstacle_distance,min_ground_clearance,collision_checks,num_waypoints,final_error,final_orientation_error,q_start,q_goal,target_position,target_quat_wxyz,message,failure_category,failure_category_cn
49,42,scene_00_no_obstacle,20260525,rrt,91,True,0.004198957001790404,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,135,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
0,42,scene_00_no_obstacle,20260525,rrt_connect,1042,True,0.0031264700010069646,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,92,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
1,42,scene_00_no_obstacle,20260525,rrt_connect,1043,True,0.0030336729978444055,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,92,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
2,42,scene_00_no_obstacle,20260525,rrt_connect,1044,True,0.003276196999649983,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,87,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
3,42,scene_00_no_obstacle,20260525,rrt_connect,1045,True,0.0035638299996207934,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,92,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
4,42,scene_00_no_obstacle,20260525,rrt_connect,1046,True,0.0031023010014905594,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,92,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
5,42,scene_00_no_obstacle,20260525,rrt_connect,1047,True,0.003619736999098677,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,87,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
6,42,scene_00_no_obstacle,20260525,rrt_connect,1048,True,0.0035486090018821415,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,92,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
7,42,scene_00_no_obstacle,20260525,rrt_connect,1049,True,0.0027964250002696645,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,87,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
8,42,scene_00_no_obstacle,20260525,rrt_connect,1050,True,0.0045950060011819005,3.511997631714629,0.8151784334708557,4.22252395657677e-14,inf,0.002999999999999989,97,80,1.1721505415132563e-12,0.0,"[-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0]","[-3.2411051,-1.0356398,1.1025,0.90258716,0.07058072,-0.47616428]","[0.55,0.18,0.44]",,success,success,成功
