scene_id,planner,trial_id,max_speed,mean_speed,max_acc,mean_acc,max_jerk,mean_jerk
scene_00_no_obstacle,rrt,13,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,14,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,15,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,16,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,17,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,18,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,19,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,20,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,21,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,22,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,23,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,24,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,25,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,26,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,27,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,28,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,29,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,30,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,31,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,32,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,33,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,34,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,35,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
scene_00_no_obstacle,rrt,36,0.044455711389031295,0.044455666628635475,2.0024984406137275e-07,1.2404159545217822e-07,3.640054943974802e-07,2.3637080287036914e-07
